TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0007616", "long-term memory", 0.652, 6.026, -3.802, 1.875, -1.558, 0.983, 0.000, -1, False
"GO:0022611", "dormancy process", 0.018, 2.585, -6.345, 0.477, -1.665, 0.983, 0.000, -1, False
"GO:0033962", "P-body assembly", 0.079, -3.719, -5.637, 1.000, -2.860, 0.928, 0.000, -1, False
"GO:1905306", "positive regulation of cardiac myofibril assembly", 0.009, -2.348, 6.429, 0.301, -2.360, 0.850, 0.000, -1, False
"GO:0051965", "positive regulation of synapse assembly", 0.370, null, null, 1.633, -2.027, 0.774, 0.572, 1905306, True
"GO:0048582", "positive regulation of post-embryonic development", 0.116, null, null, 1.146, -1.761, 0.854, 0.643, 1905306, True
"GO:0010606", "positive regulation of cytoplasmic mRNA processing body assembly", 0.026, null, null, 0.602, -2.060, 0.848, 0.789, 1905306, True
"GO:1901962", "S-adenosyl-L-methionine transmembrane transport", 0.009, 5.446, 3.883, 0.301, -2.360, 0.938, 0.012, -1, False
"GO:0008283", "cell population proliferation", 1.075, 1.976, 7.386, 2.090, -2.211, 0.983, 0.017, -1, False
"GO:0000288", "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay", 0.220, -5.607, 0.011, 1.415, -2.323, 0.523, 0.079, -1, False
"GO:0071042", "nuclear polyadenylation-dependent mRNA catabolic process", 0.018, null, null, 0.477, -2.060, 0.564, 0.679, 288, True
"GO:0071029", "nuclear ncRNA surveillance", 0.053, null, null, 0.845, -1.885, 0.621, 0.702, 288, True
"GO:0043928", "exonucleolytic catabolism of deadenylated mRNA", 0.044, null, null, 0.778, -1.665, 0.558, 0.741, 288, True
"GO:0071025", "RNA surveillance", 0.123, null, null, 1.176, -1.413, 0.664, 0.749, 288, True
"GO:0034661", "ncRNA catabolic process", 0.132, null, null, 1.204, -1.463, 0.642, 0.753, 288, True
"GO:0016078", "tRNA catabolic process", 0.009, null, null, 0.301, -1.665, 0.667, 0.784, 288, True
"GO:0000291", "nuclear-transcribed mRNA catabolic process, exonucleolytic", 0.106, null, null, 1.114, -1.520, 0.543, 0.792, 288, True
"GO:0000290", "deadenylation-dependent decapping of nuclear-transcribed mRNA", 0.070, null, null, 0.954, -1.586, 0.539, 0.815, 288, True
"GO:0071038", "nuclear polyadenylation-dependent tRNA catabolic process", 0.044, null, null, 0.778, -1.885, 0.613, 0.902, 288, True
"GO:0016075", "rRNA catabolic process", 0.106, null, null, 1.114, -1.665, 0.609, 0.920, 288, True
"GO:0034427", "nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'", 0.079, null, null, 1.000, -1.665, 0.546, 0.921, 288, True
"GO:0071028", "nuclear mRNA surveillance", 0.088, null, null, 1.041, -1.586, 0.523, 0.928, 288, True
"GO:0110156", "methylguanosine-cap decapping", 0.079, null, null, 1.000, -1.463, 0.773, 0.963, 288, True
"GO:0071027", "nuclear RNA surveillance", 0.115, null, null, 1.146, -1.413, 0.639, 0.969, 288, True
"GO:0071035", "nuclear polyadenylation-dependent rRNA catabolic process", 0.044, null, null, 0.778, -1.885, 0.604, 0.976, 288, True
"GO:0071046", "nuclear polyadenylation-dependent ncRNA catabolic process", 0.053, null, null, 0.845, -1.885, 0.609, 0.988, 288, True
"GO:0043634", "polyadenylation-dependent ncRNA catabolic process", 0.062, null, null, 0.903, -1.761, 0.617, 0.989, 288, True
"GO:0070059", "intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress", 0.044, -0.173, -7.507, 0.778, -1.586, 0.897, 0.088, -1, False
"GO:0010817", "regulation of hormone levels", 0.934, -0.829, 0.486, 2.029, -1.544, 0.836, 0.093, -1, False
"GO:0007586", "digestion", 0.132, 5.139, -5.275, 1.204, -1.328, 0.985, 0.135, -1, False
"GO:0035418", "protein localization to synapse", 0.097, 6.213, 0.826, 1.079, -1.586, 0.948, 0.153, -1, False
"GO:0044351", "macropinocytosis", 0.009, 3.927, 4.097, 0.301, -2.360, 0.952, 0.163, -1, False
"GO:0016199", "axon midline choice point recognition", 0.220, 0.543, -4.921, 1.415, -2.573, 0.906, 0.167, -1, False
"GO:0007414", "axonal defasciculation", 0.106, null, null, 1.114, -1.368, 0.913, 0.702, 16199, True
"GO:1905062", "positive regulation of cardioblast proliferation", 0.009, -1.152, 6.775, 0.301, -2.360, 0.884, 0.177, -1, False
"GO:0019218", "regulation of steroid metabolic process", 0.070, -6.545, 2.511, 0.954, -1.665, 0.732, 0.185, -1, False
"GO:0046889", "positive regulation of lipid biosynthetic process", 0.123, null, null, 1.176, -1.328, 0.672, 0.777, 19218, True
"GO:0007528", "neuromuscular junction development", 0.696, -2.537, -5.981, 1.903, -1.594, 0.944, 0.200, -1, False
"GO:0046012", "positive regulation of oskar mRNA translation", 0.018, -4.369, 4.907, 0.477, -1.885, 0.791, 0.216, -1, False
"GO:0006417", "regulation of translation", 1.903, null, null, 2.336, -1.329, 0.768, 0.582, 46012, True
"GO:0046011", "regulation of oskar mRNA translation", 0.132, null, null, 1.204, -1.413, 0.807, 0.693, 46012, True
"GO:0006839", "mitochondrial transport", 1.013, 4.949, 2.299, 2.064, -1.469, 0.949, 0.218, -1, False
"GO:0010566", "regulation of ketone biosynthetic process", 0.062, -5.895, 3.724, 0.903, -1.761, 0.764, 0.219, -1, False
"GO:0010565", "regulation of cellular ketone metabolic process", 0.132, null, null, 1.204, -1.463, 0.780, 0.807, 10566, True
"GO:0048863", "stem cell differentiation", 0.247, 2.142, -3.909, 1.462, -1.457, 0.957, 0.274, -1, False
"GO:0034476", "U5 snRNA 3'-end processing", 0.018, -6.244, -2.644, 0.477, -2.060, 0.735, 0.323, -1, False
"GO:0000467", "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)", 0.062, null, null, 0.903, -1.885, 0.677, 0.719, 34476, True
"GO:0034473", "U1 snRNA 3'-end processing", 0.018, null, null, 0.477, -2.060, 0.735, 0.721, 34476, True
"GO:0034475", "U4 snRNA 3'-end processing", 0.062, null, null, 0.903, -1.761, 0.716, 0.780, 34476, True
"GO:0031125", "rRNA 3'-end processing", 0.079, null, null, 1.000, -1.586, 0.682, 0.793, 34476, True
"GO:0000459", "exonucleolytic trimming involved in rRNA processing", 0.062, null, null, 0.903, -1.885, 0.703, 0.826, 34476, True
"GO:0000466", "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)", 0.203, null, null, 1.380, -1.328, 0.682, 0.857, 34476, True
"GO:0045450", "bicoid mRNA localization", 0.115, 4.539, -0.833, 1.146, -1.413, 0.899, 0.330, -1, False
"GO:0007318", "pole plasm protein localization", 0.097, null, null, 1.079, -1.368, 0.849, 0.742, 45450, True
"GO:0110154", "RNA decapping", 0.097, -6.459, -2.045, 1.079, -1.463, 0.784, 0.365, -1, False
"GO:1902414", "protein localization to cell junction", 0.141, 5.642, 0.904, 1.230, -1.413, 0.947, 0.368, -1, False
"GO:0002092", "positive regulation of receptor internalization", 0.044, -3.257, 4.475, 0.778, -2.360, 0.749, 0.411, -1, False
"GO:0071577", "zinc ion transmembrane transport", 0.141, 5.542, 3.098, 1.230, -1.368, 0.921, 0.420, -1, False
"GO:0006829", "zinc ion transport", 0.150, null, null, 1.255, -1.368, 0.933, 0.850, 71577, True
"GO:0000389", "mRNA 3'-splice site recognition", 0.018, -4.981, -3.582, 0.477, -1.885, 0.739, 0.454, -1, False
"GO:0006376", "mRNA splice site selection", 0.106, null, null, 1.114, -1.463, 0.711, 0.799, 389, True
"GO:0090278", "negative regulation of peptide hormone secretion", 0.062, -2.351, 1.593, 0.903, -1.761, 0.654, 0.461, -1, False
"GO:0030072", "peptide hormone secretion", 0.009, null, null, 0.301, -1.413, 0.733, 0.554, 90278, True
"GO:0032352", "positive regulation of hormone metabolic process", 0.053, null, null, 0.845, -1.761, 0.647, 0.620, 90278, True
"GO:0032350", "regulation of hormone metabolic process", 0.123, null, null, 1.176, -1.586, 0.701, 0.657, 90278, True
"GO:0051048", "negative regulation of secretion", 0.132, null, null, 1.204, -1.328, 0.797, 0.789, 90278, True
"GO:0046888", "negative regulation of hormone secretion", 0.062, null, null, 0.903, -1.761, 0.654, 0.905, 90278, True
"GO:0090276", "regulation of peptide hormone secretion", 0.141, null, null, 1.230, -1.413, 0.672, 0.907, 90278, True
"GO:0002792", "negative regulation of peptide secretion", 0.079, null, null, 1.000, -1.520, 0.790, 0.911, 90278, True
"GO:0045998", "positive regulation of ecdysteroid biosynthetic process", 0.053, null, null, 0.845, -1.761, 0.540, 0.924, 90278, True
"GO:0046885", "regulation of hormone biosynthetic process", 0.097, null, null, 1.079, -1.665, 0.646, 0.924, 90278, True
"GO:1903531", "negative regulation of secretion by cell", 0.123, null, null, 1.176, -1.368, 0.784, 0.957, 90278, True
"GO:0045940", "positive regulation of steroid metabolic process", 0.053, null, null, 0.845, -1.761, 0.670, 0.961, 90278, True
"GO:0050810", "regulation of steroid biosynthetic process", 0.053, null, null, 0.845, -1.761, 0.686, 0.961, 90278, True
"GO:0007553", "regulation of ecdysteroid metabolic process", 0.062, null, null, 0.903, -1.665, 0.561, 0.971, 90278, True
"GO:0007554", "regulation of ecdysteroid biosynthetic process", 0.053, null, null, 0.845, -1.761, 0.556, 0.999, 90278, True
"GO:0010893", "positive regulation of steroid biosynthetic process", 0.053, null, null, 0.845, -1.761, 0.658, 0.999, 90278, True
"GO:0045966", "positive regulation of ecdysteroid metabolic process", 0.053, null, null, 0.845, -1.761, 0.544, 0.999, 90278, True
"GO:0046886", "positive regulation of hormone biosynthetic process", 0.053, null, null, 0.845, -1.761, 0.627, 0.999, 90278, True
"GO:0090030", "regulation of steroid hormone biosynthetic process", 0.053, null, null, 0.845, -1.761, 0.580, 0.999, 90278, True
"GO:0090031", "positive regulation of steroid hormone biosynthetic process", 0.053, null, null, 0.845, -1.761, 0.563, 0.999, 90278, True
