TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0030198", "extracellular matrix organization", 0.573, 4.911, -3.062, 1.820, -1.975, 0.887, 0.000, -1, False
"GO:0007305", "vitelline membrane formation involved in chorion-containing eggshell formation", 0.115, null, null, 1.146, -1.708, 0.836, 0.824, 30198, True
"GO:0085029", "extracellular matrix assembly", 0.176, null, null, 1.322, -1.361, 0.889, 0.855, 30198, True
"GO:0030704", "vitelline membrane formation", 0.115, null, null, 1.146, -1.708, 0.836, 0.999, 30198, True
"GO:0090267", "positive regulation of mitotic cell cycle spindle assembly checkpoint", 0.009, -6.221, 1.008, 0.301, -2.310, 0.834, 0.000, -1, False
"GO:0097017", "renal protein absorption", 0.018, 5.287, 0.743, 0.477, -2.009, 0.922, 0.000, -1, False
"GO:0097206", "nephrocyte filtration", 0.062, null, null, 0.903, -1.467, 0.917, 0.772, 97017, True
"GO:0097205", "renal filtration", 0.062, null, null, 0.903, -1.467, 0.917, 0.837, 97017, True
"GO:0034975", "protein folding in endoplasmic reticulum", 0.035, -5.592, -4.864, 0.699, -1.411, 0.987, 0.015, -1, False
"GO:0042790", "nucleolar large rRNA transcription by RNA polymerase I", 0.044, 0.706, -6.502, 0.778, -1.533, 0.870, 0.015, -1, False
"GO:0001113", "transcription open complex formation at RNA polymerase II promoter", 0.070, null, null, 0.954, -1.467, 0.801, 0.570, 42790, True
"GO:0001109", "promoter clearance during DNA-templated transcription", 0.070, null, null, 0.954, -1.411, 0.873, 0.588, 42790, True
"GO:0001111", "promoter clearance from RNA polymerase II promoter", 0.070, null, null, 0.954, -1.411, 0.872, 0.652, 42790, True
"GO:0009303", "rRNA transcription", 0.062, null, null, 0.903, -1.361, 0.868, 0.813, 42790, True
"GO:0001112", "DNA-templated transcription open complex formation", 0.070, null, null, 0.954, -1.467, 0.802, 0.999, 42790, True
"GO:0001120", "protein-DNA complex remodeling", 0.070, null, null, 0.954, -1.467, 0.895, 0.999, 42790, True
"GO:0099504", "synaptic vesicle cycle", 0.908, -0.735, -2.337, 2.017, -1.889, 0.873, 0.020, -1, False
"GO:0099003", "vesicle-mediated transport in synapse", 0.916, null, null, 2.021, -1.780, 0.908, 0.633, 99504, True
"GO:0048488", "synaptic vesicle endocytosis", 0.326, null, null, 1.580, -1.728, 0.881, 0.892, 99504, True
"GO:0140238", "presynaptic endocytosis", 0.326, null, null, 1.580, -1.728, 0.881, 0.892, 99504, True
"GO:0036465", "synaptic vesicle recycling", 0.379, null, null, 1.643, -1.638, 0.880, 0.905, 99504, True
