TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0034968", "histone lysine methylation", 0.423, -5.042, -2.603, 1.690, -3.201, 0.606, 0.000, -1, False
"GO:0061647", "histone H3-K9 modification", 0.123, null, null, 1.176, -1.502, 0.711, 0.651, 34968, True
"GO:0018205", "peptidyl-lysine modification", 1.489, null, null, 2.230, -2.772, 0.691, 0.652, 34968, True
"GO:0016569", "covalent chromatin modification", 1.780, null, null, 2.307, -2.286, 0.695, 0.690, 34968, True
"GO:0044648", "histone H3-K4 dimethylation", 0.009, null, null, 0.301, -2.341, 0.688, 0.714, 34968, True
"GO:0080182", "histone H3-K4 trimethylation", 0.026, null, null, 0.602, -1.866, 0.667, 0.771, 34968, True
"GO:0010452", "histone H3-K36 methylation", 0.044, null, null, 0.778, -1.502, 0.659, 0.801, 34968, True
"GO:0016570", "histone modification", 1.780, null, null, 2.307, -2.315, 0.649, 0.834, 34968, True
"GO:0018023", "peptidyl-lysine trimethylation", 0.088, null, null, 1.041, -1.502, 0.674, 0.846, 34968, True
"GO:0051567", "histone H3-K9 methylation", 0.088, null, null, 1.041, -1.646, 0.644, 0.846, 34968, True
"GO:0018022", "peptidyl-lysine methylation", 0.493, null, null, 1.756, -3.167, 0.641, 0.906, 34968, True
"GO:0006479", "protein methylation", 0.731, null, null, 1.924, -2.799, 0.640, 0.955, 34968, True
"GO:0016571", "histone methylation", 0.493, null, null, 1.756, -2.928, 0.617, 0.955, 34968, True
"GO:0035265", "organ growth", 0.123, 2.887, 3.597, 1.176, -1.623, 0.995, 0.000, -1, False
"GO:2000480", "negative regulation of cAMP-dependent protein kinase activity", 0.009, 3.098, -4.776, 0.301, -2.341, 0.909, 0.000, -1, False
"GO:0008315", "G2/MI transition of meiotic cell cycle", 0.026, 1.669, 6.394, 0.602, -2.041, 0.970, 0.014, -1, False
"GO:0098506", "polynucleotide 3' dephosphorylation", 0.009, -1.860, -7.365, 0.301, -2.341, 0.876, 0.075, -1, False
"GO:0098502", "DNA dephosphorylation", 0.223, null, null, 1.415, -2.341, 0.849, 0.515, 98506, True
"GO:0098501", "polynucleotide dephosphorylation", 0.026, null, null, 0.602, -2.341, 0.774, 0.554, 98506, True
"GO:0090263", "positive regulation of canonical Wnt signaling pathway", 0.432, 4.432, -1.031, 1.699, -2.096, 0.899, 0.091, -1, False
"GO:0090364", "regulation of proteasome assembly", 0.018, 0.914, -7.032, 0.477, -2.041, 0.957, 0.095, -1, False
"GO:0043153", "entrainment of circadian clock by photoperiod", 0.106, -2.479, 6.660, 1.114, -1.502, 0.899, 0.099, -1, False
"GO:0009648", "photoperiodism", 0.115, null, null, 1.146, -1.502, 0.938, 0.634, 43153, True
"GO:0045498", "sex comb development", 0.097, 4.365, 4.265, 1.079, -1.395, 0.995, 0.153, -1, False
"GO:0006807", "nitrogen compound metabolic process", 33.821, -6.458, -5.212, 3.584, -3.222, 0.848, 0.154, -1, False
"GO:1904812", "rRNA acetylation involved in maturation of SSU-rRNA", 0.009, -7.252, 0.762, 0.301, -2.341, 0.733, 0.197, -1, False
